detailed_description,brief_summary
"In Phase I of the study, escalating single doses of intravenous curdlan sulfate are tested. In Phase II, curdlan sulfate is administered daily for 7 days. (NOTE: Phase I is completed.)","To assess the safety and tolerance of curdlan sulfate, as well as its anti-HIV activity, in HIV-infected patients with CD4 T-lymphocytes less than 500 cells/mm3, using first single doses and then, after FDA review, daily doses for 7 days."
Cohorts of 16 patients receive 1 of 2 doses of Ro 31-8959 for 20 weeks. Administration of the higher dose will proceed only after 2-week safety data for the first eight patients on the lower dose has been reviewed.,"To investigate the toxicity, antiviral activity, and pharmacokinetics in HIV-infected patients receiving 16 weeks of oral saquinavir mesylate ( Ro 31-8959 ) at one of two doses."
Patients are randomized to receive fluconazole oral suspension once daily (swallowed at approximately the same time every day) for 14 days or nystatin oral suspension used to rinse the mouth four times daily for 14 days. No food or drink is permitted immediately following the administration of the nystatin.,"To compare the efficacy, safety, and toleration of fluconazole as a single daily oral suspension for 14 days versus nystatin oral suspension 4 times daily for 14 days in the treatment of oropharyngeal candidiasis in patients with AIDS or HIV infection."
Patients receive a single IV or SC dose of PMEA daily for 4 weeks. A maximum tolerated dose will be defined for these regimens.,"To study the safety, tolerance, pharmacokinetics, and anti-HIV effects of PMEA ( adefovir ) when administered daily by intravenous (IV) and/or subcutaneous (SC) injection in patients with advanced HIV disease."
Patients are randomized to one of four treatment arms. ddC is administered at 1 of 2 doses every 8 hours. AZT is administered at 1 of 2 doses (every 4 hours while awake or every 8 hours).,To investigate the appropriate zalcitabine ( dideoxycytidine; ddC ) dose and zidovudine ( AZT ) schedule for use in combination therapy in patients with HIV infection.
"Possibly, DEHSPM will reduce stool volume and frequency in patients with refractory AIDS-related diarrhea. Patients are initially hydrated for 24 hours, followed by a 3-day baseline period. They then receive intravenous infusions of DEHSPM three times per day for 3 days, followed by observation for 3 days.","To perform preliminary clinical testing of diethylhomospermine (DEHSPM), a polyamine analogue, for refractory AIDS-related diarrhea. Possibly, DEHSPM will reduce stool volume and frequency in patients with refractory AIDS-related diarrhea."
"Patients receive itraconazole oral solution twice daily. Per 08/15/94 amendment, patients with complete resolution of oropharyngeal candidiasis lesions upon completion of treatment are eligible for maintenance treatment on protocol FDA 236C. Patients who decline maintenance are followed for 6 weeks. Patients who relapse during follow-up are re-treated for 14-28 days; if lesions clear, patients may enter the maintenance protocol.",To assess the efficacy and safety of itraconazole oral solution in HIV-seropositive patients with oropharyngeal candidiasis that is refractory to fluconazole.
Patients receive oral ganciclovir as maintenance. Patients enrolled at time of closure of enrollment will receive 2 months of study drug and undergo follow-up.,"To provide oral ganciclovir to patients who require maintenance for control of cytomegalovirus (CMV) retinitis, but who lack patent permanent central venous access for long-term administration of intravenous drugs."
"Patients are randomized to receive azithromycin at one of two doses in combination with ethambutol or clarithromycin in combination with ethambutol for 24 weeks, after which they are evaluated for entry into a maintenance phase of treatment. Clinical, microbiologic, and safety assessments are performed every 3 weeks for the first 12 weeks, then monthly for the remaining 12 weeks.","To evaluate the efficacy and safety of two different doses of azithromycin in combination with ethambutol for the treatment of patients with Mycobacterium avium complex (MAC) infection, and to determine whether an azithromycin-containing regimen is at least as safe and effective as the same regimen containing clarithromycin.."
"AZT-experienced patients are randomized to receive MK-639/AZT/3TC or MK-639 alone or AZT/3TC. Additionally, patients who have received < 6 months of AZT or who are intolerant but received prior 3TC or who require concomitant rifampin therapy may receive open-label MK-639.","To compare effects on CD4 counts and serum viral RNA among HIV-seropositive, zidovudine (AZT)-experienced patients in three treatment arms: indinavir sulfate ( MK-639; Crixivan ) plus AZT plus lamivudine ( 3TC ) versus MK-639 alone versus AZT/3TC."
"Patients are randomized to receive either adefovir dipivoxil or placebo daily for 24 weeks, after which all patients will receive open-label drug for an additional 24 weeks. Study drug is administered in combination with a current antiretroviral regimen for the entire 48 weeks. Patients are followed every 4 weeks during the first 24 weeks of study, then every 8 weeks during the last 24 weeks.","To evaluate the anti-HIV activity, safety, and tolerance of adefovir dipivoxil ( bis-POM PMEA ) in combination with standard antiretroviral therapy for 48 weeks."
"Patients are randomized to receive either hard gel or soft gel capsules of saquinavir in combination with at least one licensed nucleoside antiretroviral. Treatment will continue for 48 weeks. After the first 16 weeks, patients will be given the opportunity to roll over to the saquinavir formulation of choice.",To evaluate the antiviral activity and safety of two formulations of saquinavir in combination with licensed nucleoside antiretroviral drugs.
Patients are randomized to one of the following three regimens: Regimen 1: 1592U89 alone. Regimen 2: pure grain alcohol diluted in orange juice. Regimen 3: 1592U89 plus pure grain alcohol diluted in orange juice. Treatment is administered weekly for 3 weeks.,The purpose of this study is to see how the body processes 1592U89 and ethanol (pure grain alcohol) when they are given together.
"This is a multicenter, open-label study to evaluate the safety and efficacy of Targretin capsules in patients with AIDS-related KS. NOTE: The daily dose may be reduced as necessary for toxicity management.",The purpose of this study is to see if it is safe and effective to give Targretin capsules to patients with AIDS-related Kaposi's sarcoma (KS).
"This is a multicenter, open-label study. A total of 80 patients are treated on this study and include: At least 30 patients with a viral burden of 500 - 40,000 copies/ml. At least 30 patients with a viral burden greater than 40,000 copies/ml. At least 20 patients with less than 1 year total prior treatment with nucleoside reverse transcriptase inhibitors (NRTIs). All patients receive self-administered, combination antiretroviral therapy for 48 weeks, as follows: 1592U89 plus 141W94 plus DMP 266.","The purpose of this study is to see if it is safe and effective to give 1592U89 plus 141W94 plus DMP 266 to patients with HIV who have developed resistance to indinavir, ritonavir, saquinavir, or nelfinavir after at least 20 weeks of protease inhibitor treatment. This study also examines how long this combination therapy is effective before patients develop resistance to it."
"In this open-label, nonrandomized study, 120 HIV-infected patients are stratified into two groups: failed nelfinavir vs protease inhibitor-naive. All patients receive indinavir plus efavirenz plus adefovir dipivoxil plus and L-carnitine, orally. Plasma vRNA is measured every 4 weeks until Week 16, then every 8 weeks for the remainder of the 48-week study.",The purpose of this study is to compare the effectiveness of giving indinavir plus efavirenz plus adefovir dipivoxil to patients who have failed treatment with nelfinavir and patients who have never taken a protease inhibitor (PI). Effectiveness is measured by the number of patients who have a viral load (level of HIV in the blood) below 400 copies/ml after 48 weeks of treatment.
"HU or placebo is added 30-60 days after the initiation of DMP, ddI, and d4T combination therapy. Patients are stratified according to antiretroviral experience (naive or experienced). Patients are followed for 48 weeks to determine safety, efficacy, and effect of treatment on viral, immunologic,and biochemical parameters.","To determine the virologic benefits associated with the addition of hydroxyurea (HU) to combination drug therapy with didanosine (ddI), stavudine (d4T), and efavirenz (DMP) in HIV-infected patients. To assess the safety and tolerance of this regimen, with or without HU."
"Patients are randomized into 2 cohorts, with Cohort 2 receiving a higher dosage than Cohort 1. Patients in each cohort receive either (+)-calanolide A or a placebo for 14 days, followed by a 14-day follow-up period. Following study treatment, patients may elect to receive an open-label, 6-month course of anti-HIV drugs to be selected by and administered under the care of the patient's physician.","The purpose of this study is to test the safety and effectiveness of a new non-nucleoside reverse transcriptase inhibitor (NNRTI), (+)-calanolide A, in HIV-positive patients who have never received anti-HIV treatment."
Patients who have completed protocol FDA 103B are offered the option of receiving extended maintenance. Patients who have received no prior ddI are treated either with intravenous nystatin alone (at the same dose level administered in FDA 103B) or with a regimen of intravenous nystatin and ddI alternating on 3-week cycles. Treatment continues for 12 weeks.,"To evaluate the clinical toxicity, safety, and potential anti-HIV activity of intravenous nystatin in patients with HIV infection who have completed protocol FDA 103C. To evaluate the safety and potential antiviral activity of intravenous nystatin and oral didanosine (ddI) administered in an alternating regimen in this patient population."
"Patients are randomized to one of four treatment arms: 3TC alone, AZT alone, low-dose 3TC plus AZT, or high-dose 3TC plus AZT. Patients receive treatment for 32 weeks, with possible extension to 52 weeks. PER 02/27/95 AMENDMENT: Patients may continue therapy on AZT and low-dose 3TC on an open-label basis. Open-label therapy continues with follow-up every 8 weeks until intolerable toxicity occurs or study terminates.",To evaluate the safety and efficacy of high-dose lamivudine (3TC) alone versus zidovudine (AZT) alone versus 3TC at high and low doses in combination with AZT in HIV-1 infected patients. PER 02/27/95 AMENDMENT: To evaluate the efficacy and safety of both blinded and open-label combination therapy.
"Patients receive fluconazole oral suspension for a minimum of 3 weeks and maximum of 8 weeks. Patients are evaluated weekly, and treatment continues for 2 weeks after resolution of symptoms. Endoscopic exams and possibly biopsies are performed at baseline and at the end of treatment. Patients undergo follow-up at 2 weeks post-treatment.","To determine the safety, toleration, and efficacy of fluconazole oral suspension in the treatment of esophageal candidiasis in immunocompromised patients, including those with AIDS."
"The need exists to further assess the antibacterial agent azithromycin at differing doses in an HIV-infected population. Patients are randomized to receive azithromycin at 1 of 2 doses in a two-treatment, two-period, cross-over study. Dosing visits are separated by at least 14-day wash-out periods.",To assess the dose proportionality of azithromycin concentrations and toleration when delivered in tablet formulation to HIV-infected patients. The need exists to further assess the antibacterial agent azithromycin at differing doses in an HIV-infected population.
"Patients are randomized to receive 1 of 2 doses of Megace oral suspension daily for 24 weeks; at 12 weeks, those receiving the lower dose who have not gained 5 pounds over baseline or had appetite improvement to good or excellent are escalated to the higher dose. Patients are evaluated at 4-week intervals. Dose may be adjusted to maintain a desired weight.","To further evaluate the safety of megestrol acetate (Megace) oral suspension in the treatment of anorexia and cachexia in HIV-positive women. To compare the effectiveness of 2 doses of Megace by measurement of weight gain, appetite grade, and other parameters at 12 and 24 weeks."
"Patients are randomized to receive bis-POM PMEA at one of three fixed dose levels or placebo daily for 2 weeks. At each dose level, nine patients receive bis-POM PMEA and three patients receive placebo.","To study the safety, tolerance, single and multiple dose pharmacokinetics, and anti-HIV activity of bis-POM PMEA ( adefovir dipivoxil ) versus placebo when administered orally on a daily basis for 2 weeks to HIV-infected patients."
Patients are randomized to receive open-label emtricitabine or ABC in combination with stavudine and efavirenz. Viral load and CD4+ cell counts are compared at Weeks 24 and 48. Patients are followed for 48 weeks.,This study will look at whether emtricitabine is as safe and effective as abacavir (ABC) when taken with stavudine (d4T) and efavirenz (EFV) in patients who have never taken anti-HIV drugs.
"Patients will all receive oral doses of 1592U89 in combination with protocol specific current antiretroviral therapy. The treatment groups will be assigned based on each subject's previous NRTI experience. The study medication is self administered and all evaluations will be performed on an outpatient basis. Patients will be seen at day 0 and weeks 2, 4, 12, 16, 20 and 24.",To obtain preliminary evidence of antiretroviral activity of 1592U89 when administered in combination with other specific NRTI agents in NRTI experienced patients and to assess the safety and tolerance of multiple oral doses of 1592U89 when administered in combination with specific marketed NRTIs.
Patients will be randomized to 1 of 3 doses of oral LXR015-1 for 28 days and patients will be monitored for adverse events for the duration of the study. Patients will continue to be monitored for least 4 weeks after completion of the dosing.,To determine and compare the safety and tolerability of 3 doses of LXR015-1 in HIV-infected patients.
"All enrolled patients will receive the following 3 drug combination: Saquinavir, Zidovudine and Lamivudine. Efficacy and duration of anti-viral response will be evaluated by monitoring of HIV-1 RNA levels. Patients below the detectable limit of 200 copies/ml will be analyzed using the Ultra-direct method with a detection limit of 20 copies/ml. CD4 and CD8 cell counts will also be analyzed.",To evaluate the efficacy of Saquinavir-SGC combination with Zidovudine and Lamivudine in the treatment of HIV-1 infected patients with no previous anti-retroviral drug therapy.
Patients will receive intravenous itraconazole solution twice daily for 2 days and then once daily for five additional days. Patients then randomized to receive twice-daily or once-daily itraconazole oral solution for an additional 28 days.,To demonstrate a dosage regimen for intravenous itraconazole that produces a plasma concentration range comparable to that obtained after currently used oral dosages of itraconazole oral solution; and to obtain preliminary safety data in patients with advanced HIV disease.
"In this double-blind, placebo-controlled study, 300 patients are randomized to 1 or 2 reverse transcriptase inhibitors of their choice plus blinded therapy on Arm A or B as follows: Arm A: DMP 266 placebo plus indinavir. Arm B: DMP 266 plus indinavir. After 16 weeks, patients may switch the NRTI portion of their regimen if they meet a treatment failure criterion. After the completion of the 24-week period, patients have the option to continue on open-label DMP 266 and indinavir.",The purpose of this study is to see if it is safe and effective to add DMP 266 to an anti-HIV treatment program of indinavir and nucleoside reverse transcriptase inhibitors (NRTIs).
"In this open-label pilot study, patients are randomized to 1of the following 4 arms for 24 weeks: Arm 1 (40 patients): DLV plus ZDV plus IDV. Arm 2 (40 patients): DLV plus IDV plus 3TC*. Arm 3 (40 patients): DLV plus ZDV plus IDV plus 3TC. Arm 4 (40 patients): ZDV plus IDV plus 3TC. - Dose determined by body weight. Patients may opt to continue on study for 24 additional weeks at the discretion of the investigator.","The purpose of this study is to see if it is safe and effective to give delavirdine (DLV) in combination with two or three other drugs to HIV-infected patients. The drugs to be used in combination with DLV are zidovudine (ZDV), indinavir (IDV), and lamivudine (3TC)."
"Patients receive a treatment regimen of adefovir dipivoxil, abacavir, efavirenz, and amprenavir for 24 weeks. During the study, patients are evaluated for changes from baseline in plasma HIV-1 RNA levels and lymphocyte subsets and for development of adverse events and toxicities. Patients who experience virologic failure are discontinued from the study. After Week 24, patients with documented virologic response are eligible to continue receiving the study treatment and to attend scheduled follow-up visits.",The purpose of this study is to see if it is safe and effective to give adefovir dipivoxil plus abacavir (ABC) plus efavirenz (EFV) plus amprenavir (APV) to HIV-infected patients who have failed to respond to previous treatment with protease inhibitors (PIs).
"Volunteers receive one of two schedules of vaccines or placebo administered at days 0, 28, and 168. Specifically, group 1 receives oral microparticulate monovalent vaccine over 3 consecutive days on days 0, 1, and 2, and 28, 29, and 30, with the intramuscular monovalent vaccine given on day 168. Group 2 receives the intramuscular vaccine first, on day 0, followed by the oral form given on days 28, 29, and 30 and 168, 169, and 170. Volunteers are followed for 1 year.",To evaluate the safety and immunogenicity of a combination of microparticulate monovalent HIV-1 MN synthetic branched peptide candidate vaccine for oral administration and monovalent HIV-1 MN synthetic branched peptide vaccine in alum for intramuscular administration in intermediate or higher risk HIV-negative volunteers.
"Patients are randomized to one of three treatment arms: low-dose 3TC plus AZT, high-dose 3TC plus AZT, or ddC plus AZT. Treatment continues for 32 weeks, with possible extension to 52 weeks. PER 02/27/95 AMENDMENT: Patients may continue therapy on AZT and low-dose 3TC on an open-label basis. Open-label therapy continues with follow-up every 8 weeks until intolerable toxicity occurs or study terminates.",To evaluate the safety and efficacy of low and high doses of lamivudine ( 3TC ) in combination with zidovudine ( AZT ) and zalcitabine ( dideoxycytidine; ddC ) in combination with AZT. PER 02/27/95 AMENDMENT: To evaluate the efficacy and safety of both blinded and open-label combination therapy.
"Volunteers receive 7 blinded, intramuscular vaccinations (at Months 0, 1, 6, 12, 18, 24, 30) containing either the AIDSVAX B/B vaccine or a placebo (aluminum adjuvant only). Volunteers are randomized in a 2 to 1 vaccine-to-placebo ratio. HIV-uninfected persons are followed for a total of 16 visits beginning at screening and continuing until Month 36. Patients who become HIV infected during study are followed every 4 months for at least 24 months.","The purpose of this study is to see if an HIV vaccine, AIDSVAX B/B, can protect adults who are at risk from becoming infected with HIV. Patients who become infected despite immunization will be studied to see if receiving the vaccine before becoming infected will help keep HIV levels (viral load) low."
OBJECTIVES: I. Determine the immune response in patients with juvenile papilloma of the larynx treated with autogenous vaccine derived from each patient's own tumor. OUTLINE: Patients receive autogenous papilloma vaccine intradermally and subcutaneously weekly for 20 weeks. PROJECTED ACCRUAL: Not specified,RATIONALE: Vaccines made from papilloma virus cells may make the body build an immune response to and kill papilloma cells. PURPOSE: Phase II trial to study the effectiveness of papilloma virus vaccine in treating young patients with recurrent papilloma of the larynx.
"OBJECTIVES: I. Determine the safety and side effects of gallium nitrate (GAN) when used as an anticancer agent in pediatric patients with refractory solid tumors, including malignant brain tumors, neuroblastoma, rhabdomyosarcoma, and non-Hodgkin's lymphoma. II. Evaluate these side effects in these patients. OUTLINE: Single-Agent Chemotherapy. Gallium Nitrate, GAN, NSC-15200. PROJECTED ACCRUAL: At least 3 patients will be accrued at each dose studied.","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. PURPOSE: : Phase I trial to study the effectiveness of gallium nitrate in young patients who have malignant brain tumors, neuroblastoma, rhabdomyosarcoma, non-Hodgkin's lymphoma, or refractory solid tumor."
"OBJECTIVES: I. Assess the antitumor activity of aminocamptothecin (9-AC) administered by 72-hour infusion in patients with advanced cutaneous T-cell lymphoma. II. Assess the toxic effects of 9-AC administered on this schedule. OUTLINE: Single-Agent Chemotherapy. Aminocamptothecin, 9-AC, NSC-603071. PROJECTED ACCRUAL: A total of 30 patients will be accrued; if no more than 1 response is seen in the first 15 patients, the study will close. Probable duration of study is 18 months.",RATIONALE: Drugs used in chemotherapy use different ways to stop cancer cells from dividing so they stop growing or die. PURPOSE: Phase II trial to study the effectiveness of aminocamptothecin in treating patients with advanced cutaneous T-cell lymphoma.
"OBJECTIVES: I. Estimate the efficacy of suramin in patients with recurrent primary brain tumors as measured by radiographic response, time to progression, and survival. II. Assess the toxic effects of suramin in this patient population. OUTLINE: Single-Agent Chemotherapy. Suramin, SUR, NSC-34936. PROJECTED ACCRUAL: If at least 1 of the first 14 patients experiences at least a partial response, a total of 25 patients will be entered over approximately 30 months.",RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. PURPOSE: Phase II trial to study the effectiveness of suramin in treating patients with recurrent primary brain tumors following radiation therapy.
OBJECTIVES: I. Compare the activity and toxicity of epirubicin and cyclophosphamide with that of epirubicin and paclitaxel in patients with metastatic breast cancer. OUTLINE: Patients are randomized to receive either epirubicin and cyclophosphamide or epirubicin and paclitaxel. Each drug combination is given every 3 weeks for 6 courses in the absence of disease progression or unacceptable toxicity. PROJECTED ACCRUAL: A total of 704 patients will be accrued for this study.,RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Combining more than one drug may kill more tumor cells. PURPOSE: Randomized phase III trial to compare the effectiveness of epirubicin and cyclophosphamide with epirubicin and paclitaxel in treating women with metastatic breast cancer.
"The primary objective of this prospective, randomized, controlled trial is to compare the disease-free and overall survival of patients with stage III or IV high-risk renal cell carcinoma (RCC) who were treated with adjuvant high-dose interleukin-2 vs observation alone. Patients are stratified according to their disease classification and randomized to one course of IL-2 [600,000 U/kg every 8 hours on days 1 to 5 and days 15 to 19 (maximum 28 doses)] or observation.",The purpose of this study is to assess the efficacy of post-operative high-dose bolus interleukin-2 (IL-2) in patients with high-risk renal cell carcinoma (RCC).
"OBJECTIVES: I. Assess the antitumor activity of docetaxel as neoadjuvant chemotherapy in patients with locally advanced squamous cell carcinoma of the cervix. II. Assess the tumor response, toxic effect, and survival rate of this regimen in these patients. OUTLINE: Patients receive docetaxel IV over 1 hour on day 1. Treatment is repeated every 3 weeks for 3 courses. Patients are followed every 3 months posttreatment. PROJECTED ACCRUAL: A total of 16-35 patients will be accrued for this study.",RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. PURPOSE: Phase II trial to study the effectiveness of docetaxel in treating patients with advanced cancer of the cervix.
"OBJECTIVE: I. Determine whether high dose multivitamins have chemopreventive efficacy beyond standard therapy in reducing the risk of recurrence in patients with resected stage 0 and I (Ta, T1, and Tis) transitional cell carcinoma of the bladder. OUTLINE: This is a randomized, double blind study. Patients are randomized to receive multivitamins or placebo orally once daily for 3 years. Patients are followed every 3 months for 2 years, then every 6 months for 1 year, and then annually thereafter.",RATIONALE: Chemoprevention therapy is the use of certain drugs to try to prevent the development or recurrence of cancer. The use of high-dose multivitamins may be an effective way to prevent the recurrence of early stage bladder cancer. It is not yet known whether high-dose vitamins are more effective than no further therapy in decreasing the risk of early-stage bladder cancer. PURPOSE: Randomized double-blinded phase III trial to compare the effectiveness of high-dose multivitamins with a placebo in preventing the recurrence of cancer in patients with early stage bladder cancer.
"PROTOCOL OUTLINE: H5.001CBCFTR, an adenovirus vector containing the cystic fibrosis transmembrane conductance regulator gene, is administered endobronchially. Cohort of 2 patients receive 1 of 6 H5.001CBCFTR concentrations. There is no intrapatient dose escalation.",OBJECTIVES: I. Assess the safety and feasibility of gene transfer with the third generation adenovirus H5.001CBCFTR in patients with cystic fibrosis.
"PROTOCOL OUTLINE: This is a randomized, double blind, multicenter study. Patients are stratified by participating institution. Patients are randomized into one of two treatment arms. Arm I: Patients receive a pulse loading dose of clomipramine (CMI) IV and an oral placebo on days 1 and 2. Arm II: Patients receive an oral pulse loading dose of CMI and an IV placebo on days 1 and 2. Patients receive maintenance therapy with daily oral CMI for 12 weeks beginning 4 days after pulse loading.",OBJECTIVES: I. Evaluate the efficacy of intravenous versus oral pulse loading of clomipramine (CMI) followed by a 12-week course of maintenance therapy in patients with obsessive compulsive disorder.
